"jmdict_seq","kanji","kana","waller_definition","origin","original"
1198180,"会う","あう","to meet","waller",
1381380,"青","あお","blue","waller",
1381390,"青い","あおい","blue","waller",
2013900,"赤","あか","red","waller",
1383240,"赤い","あかい","red","waller",
1532350,"明い","あかるい","bright","waller",
1332650,"秋","あき","autumn","waller",
1586270,"開く","あく","to open, to become open","waller",
1202450,"開ける","あける","to open","waller",
1352320,"上げる","あげる","to give","waller",
1428280,"朝","あさ","morning","waller",
1586330,"朝御飯","あさごはん","breakfast","waller",
1584640,,"あさって","day after tomorrow","waller",
1404630,"足","あし","foot, leg","waller",
1584660,"明日","あした","tomorrow","waller",
1000320,,"あそこ","over there","waller",
1542160,"遊ぶ","あそぶ","to play, to make a visit","waller",
1586420,"暖かい","あたたかい","warm","waller",
1582310,"頭","あたま","head","waller",
1361490,"新しい","あたらしい","new","waller",
1483185,,"あちら","there","waller",
1343460,"暑い","あつい","hot","waller",
1467720,"熱い","あつい","hot to the touch","waller",
1275320,"厚い","あつい","kind, deep, thick","waller",
1483185,,"あっち","over there","waller",
1269320,"後","あと","afterwards","waller",
1223615,"貴方","あなた","you","waller",
1249900,"兄","あに","(humble) older brother","waller",
1307630,"姉","あね","(humble) older sister","waller",
1000430,,"あの","um...","waller",
1017760,,"アパート","apartment","waller",
1547450,,"あびる","to bathe, to shower","waller",
1218380,"危ない","あぶない","dangerous","waller",
1213400,"甘い","あまい","sweet","waller",
1584930,,"あまり","not very","waller",
1171900,"雨","あめ","rain","waller",
1153520,"飴","あめ","candy","waller",
1390930,"洗う","あらう","to wash","waller",
1296400,"有る","ある","to be,to have (used for inanimate objects)","waller",
1514320,"歩く","あるく","to walk","waller",
2847612,,"あれ","that","waller",
2820690,,"いい","good","waller",
1605820,"良い","よい","good","waller",
1583250,,"いいえ","no","waller",
1587040,"言う","いう","to say","waller",
1191730,"家","いえ","house","waller",
2845606,,"いかが","how","waller",
1578850,"行く","いく","to go","waller",
1219960,,"いくつ","how many?,how old?","waller",
1219980,,"いくら","how much?","waller",
1421700,"池","いけ","pond","waller",
