2394370,,"あっ","Ah!,Oh!"
1150410,"愛","あい","love"
1151120,"挨拶","あいさつ","greeting,salutation"
1150860,"愛情","あいじょう","love,affection"
1284930,"合図","あいず","sign,signal"
1284930,"相図","あいず","sign,signal"
1013980,,"アイスクリーム","ice cream"
1150450,"愛する","あいする","to love"
1401000,"相手","あいて","companion,partner,company"
1379210,,"あいにく","unfortunately,Sorry, but...."
1379210,"生憎","あいにく","unfortunately,Sorry, but...."
1379210,"合憎","あいにく","unfortunately,Sorry, but...."
1014590,,"アイロン","(electric) iron"
1014680,,"アウト","out"
1014680,"ＯＵＴ","アウト","out"
1586210,"明かり","あかり","lamplight,light (in general),brightness"
1586210,"明り","あかり","lamplight,light (in general),brightness"
1586210,"灯り","あかり","lamplight,light (in general),brightness"
1586210,"灯","あかり","lamplight,light (in general),brightness"
1586210,"灯かり","あかり","lamplight,light (in general),brightness"
1586210,"灯火","あかり","lamplight,light (in general),brightness"
1609010,"空き","あき","room,time to spare,emptiness"
1532310,"明らか","あきらか","obvious,evident,clear"
1532310,"顕らか","あきらか","obvious,evident,clear"
1436730,"諦める","あきらめる","to give up,to abandon"
1586250,"飽きる","あきる","to get tired of,to lose interest in,to have enough"
1586250,"厭きる","あきる","to get tired of,to lose interest in,to have enough"
1586250,"倦きる","あきる","to get tired of,to lose interest in,to have enough"
1586250,"倦る","あきる","to get tired of,to lose interest in,to have enough"
1152730,"握手","あくしゅ","handshake"
1152510,"悪魔","あくま","devil,demon,evil spirit"
1202450,"明ける","あける","to dawn,to become daylight"
1544990,"預ける","あずける","to give into custody,to entrust,to deposit"
1213060,"汗","あせ","sweat,perspiration"
1544730,"与える","あたえる","to give,to present,to award"
1512080,"辺り","あたり","vicinity,nearby"
1512080,,"あたり","vicinity,nearby"
1448810,"当たる","あたる","to be hit,to be successful,to be equivalent to"
1448810,"当る","あたる","to be hit,to be successful,to be equivalent to"
1448810,"中る","あたる","to be hit,to be successful,to be equivalent to"
1448810,"中たる","あたる","to be hit,to be successful,to be equivalent to"
1612620,,"あちこち","here and there"
1612620,,"あっちこっち","here and there"
1612620,"彼方此方","あっちこっち","here and there"
1612620,,"かなたこなた","here and there"
1612620,"彼方此方","かなたこなた","here and there"
1612620,,"あなたこなた","here and there"
1612620,"彼方此方","あなたこなた","here and there"
1612620,,"アチコチ","here and there"
1153440,"扱う","あつかう","to handle,to deal with,to treat"
1609050,"集まり","あつまり","gathering,meeting,assembly,collection"
1609050,"集り","あつまり","gathering,meeting,assembly,collection"
1448860,"当てる","あてる","to hit,to apply a patch"
1383680,"跡","あと","(1) trace,tracks,mark,sign,(2) remains,ruins,(3) scar"
1383680,"迹","あと","(1) trace,tracks,mark,sign,(2) remains,ruins,(3) scar"
1383680,"痕","あと","(1) trace,tracks,mark,sign,(2) remains,ruins,(3) scar"
1383680,"址","あと","(1) trace,tracks,mark,sign,(2) remains,ruins,(3) scar"
1254480,"穴","あな","hole"
1254480,"孔","あな","hole"
1547450,"浴びる","あびる","to bathe,to bask in the sun,to shower"
1538590,"油","あぶら","oil"
1584930,"余り","あまり","not very (used as adverb),not much"
1271290,"誤り","あやまり","error"
1271290,"謬り","あやまり","error"
1271290,"謬","あやまり","error"
1586730,"粗","あら","defect,flaw,blemish,weak point"
1586730,,"あら","defect,flaw,blemish,weak point"
1586730,"荒","あら","defect,flaw,blemish,weak point"
1586730,,"アラ","defect,flaw,blemish,weak point"
1549340,"嵐","あらし","storm,tempest"
1361510,"新た","あらた","new,fresh,novel"
1586780,,"あらゆる","all,every"
1586780,"有らゆる","あらゆる","all,every"
1263490,"表す","あらわす","to express,to show,to reveal"
1263490,"表わす","あらわす","to express,to show,to reveal"
1263490,"現わす","あらわす","to express,to show,to reveal"
1263490,"顕す","あらわす","to express,to show,to reveal"
1263490,"現す","あらわす","to show,to indicate,to display"
1610550,"現れ","あらわれ","embodiment,materialization"
1610550,"表れ","あらわれ","embodiment,materialization"
1610550,"表われ","あらわれ","embodiment,materialization"
1610550,"顕れ","あらわれ","embodiment,materialization"
1263510,"現れる","あらわれる","(1) to appear,to come in sight,to become visible,(2) to express oneself"
1263510,"表れる","あらわれる","(1) to appear,to come in sight,to become visible,(2) to express oneself"
1263510,"表われる","あらわれる","(1) to appear,to come in sight,to become visible,(2) to express oneself"
1263510,"顕れる","あらわれる","(1) to appear,to come in sight,to become visible,(2) to express oneself"
